================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:16:34
Output directory: ./analysis/robustness_results

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :    810 rows,  7 columns
aupc_summary        :    162 rows, 11 columns
rd_curve            : 973137 rows, 10 columns
rd_summary          :   3294 rows, 12 columns
csv_curve           :  16470 rows,  8 columns
csv_summary         :   3294 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
 BNCI2014_001 False  CrossSession CNN-NCP        eog  5 0.614880 0.018968 0.008483 0.598253 0.631506
 BNCI2014_001 False  CrossSession CNN-NCP   gaussian  5 0.580364 0.012625 0.005646 0.569298 0.591430
 BNCI2014_001 False  CrossSession  EEGNet    dropout  5 0.606490 0.005354 0.002394 0.601797 0.611183
 BNCI2014_001 False  CrossSession  EEGNet        eog  5 0.586135 0.018870 0.008439 0.569594 0.602675
 BNCI2014_001 False  CrossSession  EEGNet   gaussian  5 0.631183 0.008425 0.003768 0.623798 0.638569
 BNCI2014_001 False  CrossSession REEGNet    dropout  5 0.555101 0.006657 0.002977 0.549266 0.560936
 BNCI2014_001 False  CrossSession REEGNet        eog  5 0.626045 0.014360 0.006422 0.613458 0.638632
 BNCI2014_001 False  CrossSession REEGNet   gaussian  5 0.550422 0.006765 0.003025 0.544492 0.556352
 BNCI2014_001 False  CrossSubject CNN-NCP    dropout  5 0.556695 0.003285 0.001469 0.553815 0.559574
 BNCI2014_001 False  CrossSubject CNN-NCP        eog  5 0.623445 0.020400 0.009123 0.605563 0.641327
 BNCI2014_001 False  CrossSubject CNN-NCP   gaussian  5 0.557191 0.009386 0.004197 0.548964 0.565418
 BNCI2014_001 False  CrossSubject  EEGNet    dropout  5 0.577516 0.006885 0.003079 0.571481 0.583551
 BNCI2014_001 False  CrossSubject  EEGNet        eog  5 0.603616 0.028074 0.012555 0.579008 0.628224
 BNCI2014_001 False  CrossSubject  EEGNet   gaussian  5 0.598828 0.014104 0.006308 0.586465 0.611191
 BNCI2014_001 False  CrossSubject REEGNet    dropout  5 0.555107 0.005228 0.002338 0.550525 0.559690
 BNCI2014_001 False  CrossSubject REEGNet        eog  5 0.679415 0.020466 0.009153 0.661476 0.697354
 BNCI2014_001 False  CrossSubject REEGNet   gaussian  5 0.565964 0.004993 0.002233 0.561588 0.570341
 BNCI2014_001 False WithinSession CNN-NCP    dropout  5 0.573785 0.010007 0.004475 0.565014 0.582557
 BNCI2014_001 False WithinSession CNN-NCP        eog  5 0.618778 0.018425 0.008240 0.602627 0.634928
 BNCI2014_001 False WithinSession CNN-NCP   gaussian  5 0.596258 0.013996 0.006259 0.583990 0.608526
 BNCI2014_001 False WithinSession  EEGNet    dropout  5 0.608900 0.006117 0.002736 0.603537 0.614262
 BNCI2014_001 False WithinSession  EEGNet        eog  5 0.588469 0.026039 0.011645 0.565645 0.611293
 BNCI2014_001 False WithinSession  EEGNet   gaussian  5 0.634766 0.011799 0.005276 0.624424 0.645108
 BNCI2014_001 False WithinSession REEGNet    dropout  5 0.550169 0.004369 0.001954 0.546340 0.553999
 BNCI2014_001 False WithinSession REEGNet        eog  5 0.622866 0.012977 0.005804 0.611491 0.634241
 BNCI2014_001 False WithinSession REEGNet   gaussian  5 0.564587 0.012040 0.005385 0.554033 0.575141
 BNCI2014_001  True  CrossSession CNN-NCP    dropout  5 0.568128 0.002871 0.001284 0.565611 0.570645
 BNCI2014_001  True  CrossSession CNN-NCP        eog  5 0.598702 0.012231 0.005470 0.587981 0.609422
 BNCI2014_001  True  CrossSession CNN-NCP   gaussian  5 0.570786 0.006614 0.002958 0.564988 0.576583
 BNCI2014_001  True  CrossSession  EEGNet    dropout  5 0.603473 0.006871 0.003073 0.597450 0.609496
 BNCI2014_001  True  CrossSession  EEGNet        eog  5 0.611855 0.012306 0.005503 0.601068 0.622641
 BNCI2014_001  True  CrossSession  EEGNet   gaussian  5 0.637485 0.007202 0.003221 0.631172 0.643798
 BNCI2014_001  True  CrossSession REEGNet    dropout  5 0.562533 0.009026 0.004036 0.554621 0.570444
