noise_type,intensity,clean_score,corrupted_score,clean_roc_auc,clean_accuracy,clean_precision,clean_recall,clean_f1,corrupted_roc_auc,corrupted_accuracy,corrupted_precision,corrupted_recall,corrupted_f1,relative_drop,training_time,evaluation_time,total_time,session,cv_type,split_level,subject,model,dataset,mode,eval_mode,seed,tune,batch_size,optimizer__lr,optimizer__weight_decay,module__ncp_hidden_dim,module__drop_prob,module__F1,module__D,module__kernel_length,module__temporal_kernel_size,module__temporal_stride,paradigm,module__sparsity,module__use_ms_block,module__use_snr_gate,module__use_forward_model,module__use_feedback_controller,module__use_delay,module__use_uncertainty_mixer,module__lstm_hidden_size
eog,1.0,0.8508873456790124,0.8508873456790124,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.0,70.67967200279236,0.4279930591583252,71.10766506195068,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,6.2105263157894735,0.8508873456790124,0.8298611111111112,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8298611111111112,0.7847222222222222,0.7252747252747253,0.9166666666666666,0.8098159509202454,0.0247109498979822,70.67967200279236,0.427208662033081,71.10688066482544,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,11.421052631578949,0.8508873456790124,0.8236882716049383,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8236882716049383,0.7916666666666666,0.7386363636363636,0.9027777777777778,0.8125,0.0319655406937202,70.67967200279236,0.4201931953430176,71.09986519813538,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,16.63157894736842,0.8508873456790124,0.8308256172839507,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8308256172839507,0.7708333333333334,0.7241379310344828,0.875,0.7924528301886793,0.0235774200861482,70.67967200279236,0.4857561588287353,71.1654281616211,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,21.84210526315789,0.8508873456790124,0.8213734567901234,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8213734567901234,0.7847222222222222,0.759493670886076,0.8333333333333334,0.7947019867549668,0.034686012242122,70.67967200279236,0.4335451126098633,71.11321711540222,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,27.052631578947366,0.8508873456790124,0.8099922839506172,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8099922839506172,0.7847222222222222,0.735632183908046,0.8888888888888888,0.8050314465408804,0.0480616640217639,70.67967200279236,0.389672040939331,71.06934404373169,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,32.26315789473684,0.8508873456790124,0.8451003086419753,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8451003086419753,0.7916666666666666,0.7763157894736842,0.8194444444444444,0.7972972972972973,0.0068011788710043,70.67967200279236,0.4398715496063232,71.11954355239868,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,37.47368421052632,0.8508873456790124,0.8765432098765432,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8765432098765432,0.8194444444444444,0.8108108108108109,0.8333333333333334,0.8219178082191781,-0.0301518929947857,70.67967200279236,0.446260929107666,71.12593293190002,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,42.68421052631579,0.8508873456790124,0.7966820987654321,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.7966820987654321,0.7430555555555556,0.7397260273972602,0.75,0.7448275862068966,0.0637043754250737,70.67967200279236,0.4127602577209472,71.0924322605133,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,47.89473684210526,0.8508873456790124,0.8275462962962963,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8275462962962963,0.75,0.75,0.75,0.75,0.027431421446384,70.67967200279236,0.5080094337463379,71.1876814365387,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
