================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:35:03
Output directory: ./analysis/robustness_results\hydra

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :   1080 rows,  7 columns
aupc_summary        :    216 rows, 11 columns
rd_curve            : 1298007 rows, 10 columns
rd_summary          :   4392 rows, 12 columns
csv_curve           :  21960 rows,  8 columns
csv_summary         :   4392 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
      BI2015a  True  CrossSubject   HYDRA        eog  5 0.657645 0.018470 0.008260 0.641455 0.673834
      BI2015a  True  CrossSubject   HYDRA   gaussian  5 0.720887 0.003794 0.001697 0.717561 0.724213
      BI2015a  True  CrossSubject REEGNet    dropout  5 0.542518 0.032765 0.014653 0.513799 0.571238
      BI2015a  True  CrossSubject REEGNet        eog  5 0.533184 0.029147 0.013035 0.507636 0.558733
      BI2015a  True  CrossSubject REEGNet   gaussian  5 0.533637 0.039319 0.017584 0.499172 0.568101
      BI2015a  True WithinSession CNN-NCP    dropout  5 0.602463 0.002020 0.000903 0.600692 0.604233
      BI2015a  True WithinSession CNN-NCP        eog  5 0.597624 0.001645 0.000736 0.596182 0.599066
      BI2015a  True WithinSession CNN-NCP   gaussian  5 0.603723 0.001912 0.000855 0.602047 0.605399
      BI2015a  True WithinSession  EEGNet    dropout  5 0.735750 0.001673 0.000748 0.734284 0.737217
      BI2015a  True WithinSession  EEGNet        eog  5 0.698873 0.008332 0.003726 0.691570 0.706176
      BI2015a  True WithinSession  EEGNet   gaussian  5 0.824214 0.001557 0.000696 0.822849 0.825579
      BI2015a  True WithinSession   HYDRA    dropout  5 0.655992 0.004057 0.001814 0.652436 0.659548
      BI2015a  True WithinSession   HYDRA        eog  5 0.646017 0.003047 0.001363 0.643346 0.648688
      BI2015a  True WithinSession   HYDRA   gaussian  5 0.701104 0.005750 0.002571 0.696064 0.706144
      BI2015a  True WithinSession REEGNet    dropout  5 0.495074 0.000452 0.000202 0.494678 0.495470
      BI2015a  True WithinSession REEGNet        eog  5 0.495284 0.000224 0.000100 0.495088 0.495480
      BI2015a  True WithinSession REEGNet   gaussian  5 0.489441 0.000616 0.000275 0.488902 0.489981
 BNCI2014_001 False  CrossSession CNN-NCP    dropout  5 0.577129 0.007834 0.003504 0.570262 0.583996
 BNCI2014_001 False  CrossSession CNN-NCP        eog  5 0.614880 0.018968 0.008483 0.598253 0.631506
 BNCI2014_001 False  CrossSession CNN-NCP   gaussian  5 0.580364 0.012625 0.005646 0.569298 0.591430
 BNCI2014_001 False  CrossSession  EEGNet    dropout  5 0.606490 0.005354 0.002394 0.601797 0.611183
 BNCI2014_001 False  CrossSession  EEGNet        eog  5 0.586135 0.018870 0.008439 0.569594 0.602675
 BNCI2014_001 False  CrossSession  EEGNet   gaussian  5 0.631183 0.008425 0.003768 0.623798 0.638569
 BNCI2014_001 False  CrossSession   HYDRA    dropout  5 0.602399 0.002956 0.001322 0.599808 0.604990
 BNCI2014_001 False  CrossSession   HYDRA        eog  5 0.676846 0.026843 0.012005 0.653317 0.700375
 BNCI2014_001 False  CrossSession   HYDRA   gaussian  5 0.667199 0.007083 0.003168 0.660990 0.673407
 BNCI2014_001 False  CrossSession REEGNet    dropout  5 0.555101 0.006657 0.002977 0.549266 0.560936
 BNCI2014_001 False  CrossSession REEGNet        eog  5 0.626045 0.014360 0.006422 0.613458 0.638632
 BNCI2014_001 False  CrossSession REEGNet   gaussian  5 0.550422 0.006765 0.003025 0.544492 0.556352
 BNCI2014_001 False  CrossSubject CNN-NCP    dropout  5 0.556695 0.003285 0.001469 0.553815 0.559574
 BNCI2014_001 False  CrossSubject CNN-NCP        eog  5 0.623445 0.020400 0.009123 0.605563 0.641327
 BNCI2014_001 False  CrossSubject CNN-NCP   gaussian  5 0.557191 0.009386 0.004197 0.548964 0.565418
 BNCI2014_001 False  CrossSubject  EEGNet    dropout  5 0.577516 0.006885 0.003079 0.571481 0.583551
 BNCI2014_001 False  CrossSubject  EEGNet        eog  5 0.603616 0.028074 0.012555 0.579008 0.628224
 BNCI2014_001 False  CrossSubject  EEGNet   gaussian  5 0.598828 0.014104 0.006308 0.586465 0.611191
 BNCI2014_001 False  CrossSubject   HYDRA    dropout  5 0.581240 0.015882 0.007103 0.567319 0.595161
 BNCI2014_001 False  CrossSubject   HYDRA        eog  5 0.707925 0.022902 0.010242 0.687850 0.728000
 BNCI2014_001 False  CrossSubject   HYDRA   gaussian  5 0.644156 0.015733 0.007036 0.630365 0.657946
 BNCI2014_001 False  CrossSubject REEGNet    dropout  5 0.555107 0.005228 0.002338 0.550525 0.559690
 BNCI2014_001 False  CrossSubject REEGNet        eog  5 0.679415 0.020466 0.009153 0.661476 0.697354
 BNCI2014_001 False  CrossSubject REEGNet   gaussian  5 0.565964 0.004993 0.002233 0.561588 0.570341
 BNCI2014_001 False WithinSession CNN-NCP    dropout  5 0.573785 0.010007 0.004475 0.565014 0.582557
 BNCI2014_001 False WithinSession CNN-NCP        eog  5 0.618778 0.018425 0.008240 0.602627 0.634928
 BNCI2014_001 False WithinSession CNN-NCP   gaussian  5 0.596258 0.013996 0.006259 0.583990 0.608526
 BNCI2014_001 False WithinSession  EEGNet    dropout  5 0.608900 0.006117 0.002736 0.603537 0.614262
 BNCI2014_001 False WithinSession  EEGNet        eog  5 0.588469 0.026039 0.011645 0.565645 0.611293
 BNCI2014_001 False WithinSession  EEGNet   gaussian  5 0.634766 0.011799 0.005276 0.624424 0.645108
 BNCI2014_001 False WithinSession   HYDRA    dropout  5 0.599780 0.010565 0.004725 0.590519 0.609040
 BNCI2014_001 False WithinSession   HYDRA        eog  5 0.682875 0.025382 0.011351 0.660627 0.705123
 BNCI2014_001 False WithinSession   HYDRA   gaussian  5 0.671736 0.009464 0.004233 0.663440 0.680032
 BNCI2014_001 False WithinSession REEGNet    dropout  5 0.550169 0.004369 0.001954 0.546340 0.553999
 BNCI2014_001 False WithinSession REEGNet        eog  5 0.622866 0.012977 0.005804 0.611491 0.634241
 BNCI2014_001 False WithinSession REEGNet   gaussian  5 0.564587 0.012040 0.005385 0.554033 0.575141
 BNCI2014_001  True  CrossSession CNN-NCP    dropout  5 0.568128 0.002871 0.001284 0.565611 0.570645
 BNCI2014_001  True  CrossSession CNN-NCP        eog  5 0.598702 0.012231 0.005470 0.587981 0.609422
 BNCI2014_001  True  CrossSession CNN-NCP   gaussian  5 0.570786 0.006614 0.002958 0.564988 0.576583
 BNCI2014_001  True  CrossSession  EEGNet    dropout  5 0.603473 0.006871 0.003073 0.597450 0.609496
 BNCI2014_001  True  CrossSession  EEGNet        eog  5 0.611855 0.012306 0.005503 0.601068 0.622641
 BNCI2014_001  True  CrossSession  EEGNet   gaussian  5 0.637485 0.007202 0.003221 0.631172 0.643798
 BNCI2014_001  True  CrossSession   HYDRA    dropout  5 0.596155 0.011730 0.005246 0.585874 0.606437
 BNCI2014_001  True  CrossSession   HYDRA        eog  5 0.685097 0.016079 0.007191 0.671003 0.699191
